0
"[{'number': '202-333-1212', 'type': 'office', 'primary': True}, {'number': '202-333-9396', 'type': 'fax'}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '301-970-2447', 'type': 'office', 'primary': True}]"
"[{'number': '202-280-2396', 'type': 'office', 'primary': True}]"
"[{'number': '800-839-1295', 'type': 'office', 'primary': True}, {'number': '800-839-1295', 'type': 'office'}, {'number': '703-549-8700', 'type': 'office'}]"
"[{'number': '202-759-7581', 'type': 'office', 'primary': True}]"
"[{'number': '703-691-1400', 'type': 'office', 'primary': True}, {'number': '703-691-4656', 'type': 'fax'}]"
"[{'number': '301-652-0643', 'type': 'office', 'primary': True}]"
"[{'number': '703-310-6800', 'type': 'office', 'primary': True}, {'number': '571-447-4800', 'type': 'fax'}]"
"[{'number': '703-964-1290', 'type': 'home', 'primary': True}]"
"[{'number': '202-546-1771', 'type': 'home', 'primary': True}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '703-824-4800', 'type': 'office', 'primary': True}, {'number': '703-824-4805', 'type': 'fax'}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
""
"[{'number': '571-386-1075', 'type': 'office', 'primary': True}]"
"[{'number': '703-683-0400', 'type': 'office', 'primary': True}, {'number': '800-753-5228', 'type': 'toll_free'}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '703-277-2152', 'type': 'office', 'primary': True}]"
"[{'number': '703-765-3500', 'type': 'office', 'primary': True}]"
""
"[{'number': '202-518-8781', 'type': 'office', 'primary': True}]"
"[{'number': '703-525-1900', 'type': 'home', 'primary': True}, {'number': '703-525-1900', 'type': 'office'}, {'number': '703-528-1556', 'type': 'fax'}]"
"[{'number': '301-702-4200', 'type': 'office', 'primary': True}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '571-282-3732', 'type': 'office', 'primary': True}]"
"[{'number': '703-679-1700', 'type': 'home', 'primary': True}]"
"[{'number': '202-243-7700', 'type': 'office', 'primary': True}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '703-378-8810', 'type': 'office', 'primary': True}]"
"[{'number': '202-387-6180', 'type': 'office', 'primary': True}]"
"[{'number': '703-835-9695', 'type': 'office', 'primary': True}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '703-562-1800', 'type': 'office', 'primary': True}, {'number': '703-562-1800', 'type': 'other'}]"
"[{'number': '703-807-1871', 'type': 'office', 'primary': True}]"
"[{'number': '301-270-7026', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-5550', 'type': 'mobile', 'primary': True}]"
"[{'number': '877-983-9355', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-5550', 'type': 'mobile', 'primary': True}]"
"[{'number': '703-636-7300', 'type': 'office', 'primary': True}]"
"[{'number': '703-378-8810', 'type': 'office', 'primary': True}]"
"[{'number': '301-439-1180', 'type': 'office', 'primary': True}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '703-266-7277', 'type': 'office', 'primary': True}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '301-541-3823', 'type': 'home', 'primary': True}]"
"[{'number': '202-518-8781', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-3610', 'type': 'office', 'primary': True}, {'number': '703-535-3611', 'type': 'fax'}, {'number': '703-535-3610', 'type': 'other'}, {'number': '214-519-4646', 'type': 'mobile'}]"
"[{'number': '267-463-5995', 'type': 'office', 'primary': True}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-3610', 'type': 'office', 'primary': True}, {'number': '703-535-3611', 'type': 'fax'}, {'number': '703-535-3610', 'type': 'other'}, {'number': '214-519-4646', 'type': 'mobile'}]"
"[{'number': '202-759-7581', 'type': 'office', 'primary': True}]"
"[{'number': '800-839-1295', 'type': 'office', 'primary': True}, {'number': '800-839-1295', 'type': 'office'}, {'number': '703-760-8880', 'type': 'office'}]"
"[{'number': '301-229-4000', 'type': 'office', 'primary': True}]"
"[{'number': '301-654-3200', 'type': 'office', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '202-759-7581', 'type': 'office', 'primary': True}]"
"[{'number': '877-733-3469', 'type': 'home', 'primary': True}, {'number': '877-733-3469', 'type': 'fax'}]"
"[{'number': '202-944-5000', 'type': 'office', 'primary': True}]"
"[{'number': '877-330-2773', 'type': 'office', 'primary': True}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '240-383-1350', 'type': 'business_phone', 'primary': True}]"
"[{'number': '202-243-7700', 'type': 'office', 'primary': True}]"
"[{'number': '202-518-8781', 'type': 'office', 'primary': True}]"
"[{'number': '703-748-0001', 'type': 'office', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '877-639-1300', 'type': 'toll_free'}, {'number': '202-966-1400', 'type': 'office', 'primary': True}, {'number': '202-364-1300', 'type': 'office'}]"
"[{'number': '703-378-8810', 'type': 'office', 'primary': True}]"
"[{'number': '703-824-4800', 'type': 'office', 'primary': True}, {'number': '703-824-4805', 'type': 'fax'}]"
"[{'number': '301-474-2400', 'type': 'office', 'primary': True}]"
"[{'number': '877-639-1300', 'type': 'toll_free'}, {'number': '202-966-1400', 'type': 'office', 'primary': True}, {'number': '202-364-1300', 'type': 'office'}]"
"[{'number': '703-256-6247', 'type': 'office', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '703-281-8500', 'type': 'office', 'primary': True}, {'number': '703-281-8501', 'type': 'fax'}]"
"[{'number': '202-234-3344', 'type': 'office', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '703-671-1000', 'type': 'office', 'primary': True}]"
"[{'number': '703-310-6800', 'type': 'office', 'primary': True}, {'number': '571-447-4800', 'type': 'fax'}]"
"[{'number': '703-310-6800', 'type': 'office', 'primary': True}, {'number': '571-447-4800', 'type': 'fax'}]"
"[{'number': '703-858-2770', 'type': 'office', 'primary': True}]"
"[{'number': '703-880-3143', 'type': 'office', 'primary': True}]"
"[{'number': '703-266-7277', 'type': 'office', 'primary': True}]"
"[{'number': '703-824-4800', 'type': 'office', 'primary': True}, {'number': '703-824-4805', 'type': 'fax'}]"
"[{'number': '240-497-1700', 'type': 'office', 'primary': True}]"
"[{'number': '202-364-1700', 'type': 'office', 'primary': True}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '202-364-1700', 'type': 'office', 'primary': True}]"
"[{'number': '703-683-0400', 'type': 'office', 'primary': True}, {'number': '800-753-5228', 'type': 'toll_free'}]"
"[{'number': '877-983-9355', 'type': 'office', 'primary': True}]"
"[{'number': '301-907-7600', 'type': 'office', 'primary': True}, {'number': '301-907-6610', 'type': 'fax'}, {'number': '301-907-6610', 'type': 'fax'}]"
"[{'number': None, 'type': '', 'primary': True}]"
""
"[{'number': '202-546-0055', 'type': 'office', 'primary': True}, {'number': '202-546-0511', 'type': 'fax'}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '703-652-5760', 'type': 'office', 'primary': True}]"
"[{'number': '202-759-7581', 'type': 'office', 'primary': True}]"
"[{'number': '202-903-2200', 'type': 'office', 'primary': True}]"
"[{'number': '703-533-8660', 'type': 'office', 'primary': True}, {'number': '703-533-8665', 'type': 'fax'}]"
"[{'number': '571-260-0038', 'type': 'office', 'primary': True}]"
"[{'number': '202-387-0777', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-3610', 'type': 'office', 'primary': True}, {'number': '703-535-3611', 'type': 'fax'}, {'number': '703-535-3610', 'type': 'other'}, {'number': '214-519-4646', 'type': 'mobile'}]"
"[{'number': '301-249-1600', 'type': 'office', 'primary': True}, {'number': '301-449-9100', 'type': 'office'}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-5550', 'type': 'mobile', 'primary': True}]"
"[{'number': '703-241-8821', 'type': 'office', 'primary': True}]"
"[{'number': '240-383-1350', 'type': 'business_phone', 'primary': True}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '202-944-5000', 'type': 'office', 'primary': True}]"
"[{'number': '571-282-3732', 'type': 'office', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '202-759-7581', 'type': 'office', 'primary': True}]"
"[{'number': '703-807-1871', 'type': 'office', 'primary': True}]"
"[{'number': '703-802-2853', 'type': 'home', 'primary': True}, {'number': '800-297-8382', 'type': 'toll_free'}, {'number': '703-802-2853', 'type': 'fax'}]"
"[{'number': '703-824-4800', 'type': 'office', 'primary': True}, {'number': '703-824-4805', 'type': 'fax'}]"
"[{'number': '202-552-5605', 'type': 'home', 'primary': True}, {'number': '202-552-5600', 'type': 'office'}, {'number': '202-552-5605', 'type': 'fax'}]"
"[{'number': '202-545-6900', 'type': 'office', 'primary': True}]"
"[{'number': '703-581-8605', 'type': 'office', 'primary': True}]"
"[{'number': '202-243-7700', 'type': 'office', 'primary': True}]"
"[{'number': '240-339-3005', 'type': 'office', 'primary': True}]"
"[{'number': '703-562-1800', 'type': 'office', 'primary': True}, {'number': '703-562-1800', 'type': 'other'}]"
"[{'number': '703-683-0400', 'type': 'office', 'primary': True}, {'number': '800-753-5228', 'type': 'toll_free'}]"
"[{'number': '301-970-2447', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-3610', 'type': 'office', 'primary': True}, {'number': '703-535-3611', 'type': 'fax'}, {'number': '703-535-3610', 'type': 'other'}, {'number': '214-519-4646', 'type': 'mobile'}]"
"[{'number': '301-967-3344', 'type': 'office', 'primary': True}, {'number': '301-664-9425', 'type': 'fax'}]"
"[{'number': '202-547-5600', 'type': 'office', 'primary': True}, {'number': '202-547-8890', 'type': 'fax'}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-3610', 'type': 'office', 'primary': True}, {'number': '703-535-3611', 'type': 'fax'}, {'number': '703-535-3610', 'type': 'other'}, {'number': '214-519-4646', 'type': 'mobile'}]"
"[{'number': '540-303-3616', 'type': 'office', 'primary': True}]"
"[{'number': '202-775-4663', 'type': 'office', 'primary': True}]"
"[{'number': '202-842-5111', 'type': 'office', 'primary': True}]"
"[{'number': '703-357-9200', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-5550', 'type': 'mobile', 'primary': True}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '703-636-7300', 'type': 'office', 'primary': True}]"
"[{'number': '703-922-4010', 'type': 'office', 'primary': True}, {'number': '703-922-7888', 'type': 'fax'}]"
"[{'number': '202-364-3066', 'type': 'office', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '703-378-8810', 'type': 'office', 'primary': True}]"
"[{'number': '202-545-6900', 'type': 'office', 'primary': True}]"
"[{'number': '703-222-3300', 'type': 'office', 'primary': True}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '703-879-0505', 'type': 'home', 'primary': True}]"
"[{'number': '703-836-1464', 'type': 'office', 'primary': True}, {'number': '703-836-5864', 'type': 'fax'}, {'number': '800-799-1464', 'type': 'office'}]"
"[{'number': '202-333-1212', 'type': 'office', 'primary': True}, {'number': '202-333-9396', 'type': 'fax'}]"
"[{'number': '202-387-6180', 'type': 'office', 'primary': True}]"
"[{'number': '202-333-3320', 'type': 'office', 'primary': True}, {'number': '240-888-9495', 'type': 'mobile'}]"
"[{'number': '703-683-0400', 'type': 'office', 'primary': True}, {'number': '800-753-5228', 'type': 'toll_free'}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '703-357-9200', 'type': 'office', 'primary': True}]"
"[{'number': '202-547-5600', 'type': 'office', 'primary': True}, {'number': '202-547-8890', 'type': 'fax'}]"
"[{'number': '703-563-2200', 'type': 'office', 'primary': True}, {'number': '703-563-2210', 'type': 'fax'}]"
"[{'number': '410-729-7700', 'type': 'office', 'primary': True}]"
"[{'number': '301-970-2447', 'type': 'office', 'primary': True}]"
"[{'number': '703-535-5550', 'type': 'mobile', 'primary': True}]"
"[{'number': '301-346-5252', 'type': 'mobile', 'primary': True}]"
"[{'number': '301-270-7026', 'type': 'office', 'primary': True}]"
"[{'number': '703-658-1600', 'type': 'office', 'primary': True}]"
"[{'number': '877-733-3469', 'type': 'home', 'primary': True}, {'number': '877-733-3469', 'type': 'fax'}]"
"[{'number': '202-243-7700', 'type': 'office', 'primary': True}]"
"[{'number': '703-922-4010', 'type': 'office', 'primary': True}, {'number': '703-922-7888', 'type': 'fax'}]"
"[{'number': '301-244-0117', 'type': 'office', 'primary': True}]"
"[{'number': '571-260-0038', 'type': 'office', 'primary': True}]"
"[{'number': '877-733-3469', 'type': 'home', 'primary': True}, {'number': '877-733-3469', 'type': 'fax'}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '571-264-0387', 'type': 'mobile', 'primary': True}]"
"[{'number': '703-866-2424', 'type': 'office', 'primary': True}]"
